X,Y,Zone,NOMREG,DN,Area,Class,Echant,adm_01,adm_02,adm_03,Cle,NAME,TYPELOCALI,Site,icon_url
5.07895000005046,14.4980829999929,Sahelienne,TAHOUA,"3445",12394968.90839999914,RNR,"16",Tahoua,Illéla,Illéla,"150866",Intoubame,6.00000000000,Site,./0.png
5.10705000004792,14.5052999999933,Sahelienne,TAHOUA,"3445",12394968.90839999914,RNR,"16",Tahoua,Illéla,Illéla,"150866",Farabani,2.00000000000,Site,./0.png
8.15055000000006,14.6704330000001,Sahelo_Saharienne,ZINDER,"4343",4993394.75796215050,DRD,"31",Zinder,Tanout,Gangara,"221373",Chipti,5.00000000000,Site,./0.png
8.15055000000006,14.6704330000001,Sahelo_Saharienne,ZINDER,"4343",4993394.75796215050,DRD,"31",Zinder,Tanout,Gangara,"221373",Chipti (Guidan Koure),5.00000000000,Site,./0.png
8.15055000000006,14.6704330000001,Sahelo_Saharienne,ZINDER,"4343",4993394.75796215050,DRD,"31",Zinder,Tanout,Gangara,"221373",Chipti (Talia),5.00000000000,Site,./0.png
5.68763300001444,14.7296829999982,Sahelienne,TAHOUA,"4554",278153.37136072729,RND,"411",Tahoua,Keita,Tamaské,"141506",Idikin Sarki,5.00000000000,Site,./0.png
5.69791700001377,14.8108999999983,Sahelienne,TAHOUA,"4554",1181686.67910682317,RND,"91",Tahoua,Keita,Tamaské,"137610",Toulliki,2.00000000000,Site,./0.png
8.84701430873677,13.1572039413712,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
8.97030359480297,13.1786455563393,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
8.64331896654044,13.9076604652524,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
8.35921756821398,14.6581169891337,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
4.40860001053887,13.7950919866451,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
3.55093541237684,12.9963918290123,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
4.7141430237597,13.8808584465279,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
5.09473168938403,14.2024826710561,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
9.16863853325729,13.4466657434397,,,"0",0.00000000000,,"0",,,,"0",,0.00000000000,Site,./0.png
