X,Y,DN,C_2019,Class,C_Class,Zone,C_Zone,Region,C_Region,Departemen,Commune,UH,Area,Point,Point_cont,x,y,Xd,Yd,icon_url
7.854465,14.367908,"4446","6",NNR,"15",Sahelo_Saharienne,"2",Maradi,"2",Mayahi,El Allassane Maireyrey,"226",69456.635383600005298,"1","46","376485","158872",7.854465000000000,14.367908000000000,./0.png
7.143432,13.312728,"1111","1",NNN,"14",Soudano_Sahelienne,"4",Maradi,"2",Madarounfa,Madarounfa,"241",287803.102807999996003,"1","47","298895","147247",7.143432000000000,13.312728000000000,./0.png
7.153489,13.306188,"1111","1",NNN,"14",Soudano_Sahelienne,"4",Maradi,"2",Madarounfa,Madarounfa,"241",139618.180649999994785,"2","48","299979","147173",7.153489000000000,13.306188000000001,./0.png
7.139011,13.311014,"1112","2",NNR,"15",Soudano_Sahelienne,"4",Maradi,"2",Madarounfa,Madarounfa,"242",139617.640195000014501,"1","49","298414","147228",7.139011000000000,13.311014000000000,./0.png
7.147456,13.306188,"2122","2",DRN,"8",Soudano_Sahelienne,"4",Maradi,"2",Madarounfa,Madarounfa,"242",69809.542686300002970,"2","50","299325","147174",7.147456000000000,13.306188000000001,./0.png
6.574344,13.85032,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Maradi,"2",Dakoro,Dan-Goulbi,"243",1603161.875950000248849,"1","51","237813","153250",6.574344000000000,13.850320000000000,./0.png
6.53189,13.738115,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Guidan Roumdji,"243",1077088.817499999888241,"2","52","233094","152012",6.531890000000000,13.738115000000001,./0.png
8.204086,13.522152,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Maradi,"2",Tessaoua,Korgom,"244",4931652.747659999877214,"1","53","413872","149502",8.204086000000000,13.522152000000000,./0.png
7.796555,13.501641,"4344","4",DRN,"8",Soudano_Sahelienne,"4",Maradi,"2",Aguie,Aguie,"244",4422289.624560000374913,"2","54","369755","149293",7.796555000000000,13.501640999999999,./0.png
6.949749,13.640577,"5455","5",DRN,"8",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Guidan Roumdji,"245",47881481.491700001060963,"1","55","278210","150891",6.949749000000000,13.640577000000000,./0.png
7.357316,13.547488,"4555","5",RNN,"23",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Sae Saboua,"245",38038254.112499997019768,"2","56","322242","149827",7.357316000000000,13.547488000000000,./0.png
7.493528,13.55434,"5556","6",NNR,"15",Soudano_Sahelienne,"4",Maradi,"2",Aguie,Tchadoua,"246",44717008.331299997866154,"1","57","336990","149894",7.493528000000000,13.554340000000000,./0.png
6.825013,13.785934,"4456","6",NRR,"18",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Chadakori,"246",36187454.968699999153614,"2","58","264855","152511",6.825013000000000,13.785933999999999,./0.png
6.683895,13.482496,"5557","7",NNR,"15",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Tibiri,"247",15340874.354800000786781,"1","59","249271","149167",6.683895000000000,13.482495999999999,./0.png
6.737091,13.475887,"5557","7",NNR,"15",Soudano_Sahelienne,"4",Maradi,"2",Guidan Roumdji,Tibiri,"247",14180728.682800000533462,"2","60","255026","149089",6.737091000000000,13.475887000000000,./0.png
4.616356,14.238679,"1111","1",NNN,"14",Sahelienne,"1",Tahoua,"3",Bagaroua,Bagaroua,"311",2226328.640500000212342,"1","61","26691","157858",4.616356000000000,14.238678999999999,./0.png
4.75958,14.611905,"1111","1",NNN,"14",Sahelienne,"1",Tahoua,"3",Tahoua,Bambeye,"311",1185158.785920000169426,"2","62","42945","161967",4.759580000000000,14.611905000000000,./0.png
4.5012,14.403098,"3222","2",DNN,"5",Sahelienne,"1",Tahoua,"3",Bagaroua,Bagaroua,"312",837903.975351999979466,"1","63","14590","159705",4.501200000000000,14.403098000000000,./0.png
4.828354,14.412969,"2222","2",NNN,"14",Sahelienne,"1",Tahoua,"3",Bagaroua,Bagaroua,"312",495165.600070999993477,"2","64","49966","159748",4.828354000000000,14.412969000000000,./0.png
4.816574,14.829657,"3333","3",NNN,"14",Sahelienne,"1",Tahoua,"3",Tahoua,Bambeye,"313",56534805.003600001335144,"1","65","49546","164370",4.816574000000000,14.829656999999999,./0.png
4.459488,14.482239,"3333","3",NNN,"14",Sahelienne,"1",Tahoua,"3",Bagaroua,Bagaroua,"313",53761346.653099998831749,"2","66","10255","160592",4.459488000000001,14.482239000000000,./0.png
6.392553,14.906458,"4444","4",NNN,"14",Sahelienne,"1",Tahoua,"3",Abalak,Azeye,"314",130126950.017000004649162,"1","67","219474","164962",6.392553000000000,14.906458000000001,./0.png
6.363204,14.457762,"4444","4",NNN,"14",Sahelienne,"1",Tahoua,"3",Bouza,Babankatami,"314",80848776.527300000190735,"2","68","215735","159998",6.363204000000000,14.457762000000001,./0.png
6.438942,14.284246,"4455","5",NRN,"17",Sahelienne,"1",Tahoua,"3",Madaoua,Ourno,"315",44382810.879799999296665,"1","69","223691","158068",6.438942000000000,14.284246000000000,./0.png
4.817086,14.534351,"4445","5",NNR,"15",Sahelienne,"1",Tahoua,"3",Tahoua,Bambeye,"315",34326247.632600001990795,"2","70","48994","161096",4.817086000000000,14.534350999999999,./0.png
6.115964,14.355843,"4456","6",NRR,"18",Sahelienne,"1",Tahoua,"3",Bouza,Karofane,"316",3162891.823559999931604,"1","71","188920","158902",6.115964000000000,14.355843000000000,./0.png
4.982319,14.436395,"4446","6",NNR,"15",Sahelienne,"1",Tahoua,"3",Illela,Illela,"316",2279278.453970000147820,"2","72","66646","159978",4.982319000000000,14.436394999999999,./0.png
5.917461,14.784206,"6757","7",RDR,"21",Sahelienne,"1",Tahoua,"3",Keita,Ibohamane,"317",1275694.012050000019372,"1","73","168134","163673",5.917461000000000,14.784205999999999,./0.png
5.717168,14.736381,"5777","7",RNN,"23",Sahelienne,"1",Tahoua,"3",Keita,Tamaske,"317",1121990.582600000081584,"2","74","146473","163174",5.717168000000000,14.736381000000000,./0.png
5.045768,15.386194,"3441","1",RND,"22",Sahelo_Saharienne,"2",Tahoua,"3",Tahoua,Affala,"321",277682.755660000024363,"1","75","75371","170493",5.045768000000000,15.386194000000000,./0.png
4.047958,15.765035,"2311","1",RDN,"20",Sahelo_Saharienne,"2",Tahoua,"3",Tillia,Tillia,"321",138939.781496000010520,"2","76","-31009","174919",4.047958000000001,15.765034999999999,./0.png
4.82001,15.562288,"2222","2",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Tillia,Tillia,"322",3773300.294400000013411,"1","77","51473","172491",4.820010000000000,15.562288000000001,./0.png
4.748922,15.123177,"2222","2",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Tahoua,Takanamat,"322",3331146.539280000142753,"2","78","42875","167638",4.748922000000000,15.123177000000000,./0.png
4.330869,15.523639,"3333","3",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Tillia,Tillia,"323",181932271.283999979496002,"1","79","-1203","172171",4.330869000000000,15.523638999999999,./0.png
6.499469,15.556961,"3333","3",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Abalak,Abalak,"323",180362436.946999996900558,"2","80","231809","172150",6.499469000000000,15.556960999999999,./0.png
6.153855,15.25721,"4344","4",DRN,"8",Sahelo_Saharienne,"2",Tahoua,"3",Abalak,Akoubounou,"324",133925806.067000001668930,"1","81","194278","168877",6.153855000000000,15.257210000000001,./0.png
5.795122,15.248695,"4444","4",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Abalak,Tabalak,"324",37845924.482199996709824,"2","82","155697","168836",5.795122000000000,15.248695000000000,./0.png
4.585103,14.972169,"3445","5",RNR,"24",Sahelo_Saharienne,"2",Tahoua,"3",Tahoua,Tebaram,"325",5868669.799300000071526,"1","83","24894","165998",4.585103000000000,14.972168999999999,./0.png
5.640299,15.304152,"4445","5",NNR,"15",Sahelo_Saharienne,"2",Tahoua,"3",Tchintabaraden,Kao,"325",4852570.523689999245107,"2","84","139143","169476",5.640299000000000,15.304152000000000,./0.png
5.145394,15.234418,"2446","6",RNR,"24",Sahelo_Saharienne,"2",Tahoua,"3",Tahoua,Affala,"326",601463.161895000026561,"1","85","85785","168791",5.145394000000000,15.234418000000000,./0.png
4.784325,15.624679,"5676","6",RRD,"25",Sahelo_Saharienne,"2",Tahoua,"3",Tillia,Tillia,"326",416302.132365999976173,"2","86","47775","173190",4.784325000000000,15.624679000000000,./0.png
5.407243,15.613007,"7777","7",NNN,"14",Sahelo_Saharienne,"2",Tahoua,"3",Tchintabaraden,Kao,"327",876895.584174999967217,"1","87","114657","172938",5.407243000000000,15.613007000000000,./0.png
5.515092,15.242621,"4567","7",RRR,"27",Sahelo_Saharienne,"2",Tahoua,"3",Tahoua,Barmou,"327",693581.940673999954015,"2","88","125572","168815",5.515092000000000,15.242621000000000,./0.png
6.076104,13.806837,"6111","1",DNN,"5",Soudano_Sahelienne,"4",Tahoua,"3",Madaoua,Bangui,"341",272670.792887000017799,"1","89","183862","152829",6.076104000000000,13.806837000000000,./0.png
6.070067,13.803266,"3111","1",DNN,"5",Soudano_Sahelienne,"4",Tahoua,"3",Madaoua,Bangui,"341",209312.140208999975584,"2","90","183204","152790",6.070067000000000,13.803266000000001,./0.png
4.894921,13.812918,"3332","2",NND,"13",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Allela,"342",139870.945615000004182,"1","91","55994","153083",4.894921000000000,13.812918000000000,./0.png
4.652414,13.810505,"3332","2",NND,"13",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Allela,"342",69977.505027000006521,"2","92","29716","153103",4.652414000000000,13.810504999999999,./0.png
4.873626,13.832353,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Allela,"343",56272701.931800000369549,"1","93","53724","153303",4.873626000000000,13.832352999999999,./0.png
4.942358,13.810505,"3333","3",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Allela,"343",10769022.664599999785423,"2","94","61128","153048",4.942358000000000,13.810504999999999,./0.png
4.638657,13.825058,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Allela,"344",24788069.209600001573563,"1","95","28255","153267",4.638657000000000,13.825058000000000,./0.png
5.1107,13.97097,"4444","4",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Birni N'Konni,"344",13978529.714700000360608,"2","96","79652","154796",5.110700000000000,13.970969999999999,./0.png
